Portugiesisch;Deutsch;Notiz/Beispiel
Estou um pouco cansado;Ich bin ein bisschen müde;estar
Também estou cansado;Ich bin auch müde;
Casado / Casada;verheiratet;Estado civil
Solteiro / Solteira;ledig;
Divorciado / Divorciada;geschieden;
Viúvo / Viúva;verwitwet;
Qual é a profissão de...?;Was ist der Beruf von...?;
Quantos anos tem?;Wie alt ist er/sie?;
Que idade tem?;Welches Alter hat er/sie?;alternative Frage
Qual é o número de telefone?;Wie ist die Telefonnummer?;
apanhar;nehmen, fangen;Verb
apanhar o metro;die U-Bahn nehmen;
comprar;kaufen;
almoçar;zu Mittag essen;Achtung: ç!
tomar café;Kaffee trinken;
escritório;Büro;
faculdade;Fakultät / Hochschule;
